experiment_id,stage,status,lab_commit,minimind_commit,base_weight,dataset,hardware,dtype,seed,swanlab_url,report_path,checkpoint_url,started_at,finished_at
M00-dense-probe-s43-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,43,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/lqpjih38,experiments/06-moe/M00-dense-probe-s43-20260908/report.md,,2026-09-08,2026-09-08
M00-dense-probe-s44-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,44,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/zc825k5w,experiments/06-moe/M00-dense-probe-s44-20260908/report.md,,2026-09-08,2026-09-08
M00-moe-probe-s44-20260908,phase7-moe-probe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,P03-final-remix-v1;400rows diagnostic,1xL20 GPU7,FP32+BF16-autocast,44,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/3dv7s2og,experiments/06-moe/M00-moe-probe-s44-20260908/report.md,,2026-09-08,2026-09-08
M00b-repro-r1-20260908,phase7-moe-gate,invalidated,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,5120-row recovery gate subset,4xL20 GPU4-7,FP32+BF16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/g156sao9,experiments/06-moe/M00b-repro-r1-20260908/report.md,,2026-09-08,2026-09-08
M00b-repro-r2-20260908,phase7-moe-gate,invalidated,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random,5120-row recovery gate subset,4xL20 GPU4-7,FP32+BF16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/c78mrgp0,experiments/06-moe/M00b-repro-r2-20260908/report.md,,2026-09-08,2026-09-08
M00b-r3-gates-20260908,phase7-moe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random seed42,P03-final-remix-v1-1b28,4xL20 GPU4-7,FP32+BF16 deterministic,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/l7245r45,experiments/06-moe/M00b-r3-gates-20260908/report.md,,2026-09-08,2026-09-08
M01-dense-pretrain-1b28-20260908,phase7-moe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random seed42,P03-final-remix-v1-1b28,4xL20 GPU4-7,FP32+BF16 deterministic,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/nyy90ef5,experiments/06-moe/M01-dense-pretrain-1b28-20260908/report.md,,2026-09-08,2026-09-09
M02-moe-pretrain-1b28-20260908,phase7-moe,completed,01a9910+phase7-working-tree,393e387e9ad99f0f04c296e4c5e7353f4444629f,random seed42,P03-final-remix-v1-1b28,4xL20 GPU4-7,FP32+BF16 deterministic,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/uvoc97pz,experiments/06-moe/M02-moe-pretrain-1b28-20260908/report.md,,2026-09-08,2026-09-09
K00-student-ifeval-qualification-20260909,phase8-distill-gate,running,9a7913a,393e387e9ad99f0f04c296e4c5e7353f4444629f,46aeab66795795aa77d703f08d71b952fe98461040f4560e1301021540710131,IFEval541 frozen; qualification only,1xL20 GPU5,float16 native greedy,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/15gy76hx,experiments/07-distill/K00-teacher-qualification-20260909/report.md,,2026-09-09,
K00-teacher-ifeval-qualification-20260909,phase8-distill-gate,running,9a7913a,393e387e9ad99f0f04c296e4c5e7353f4444629f,a050020ea6d1b9e824693d0db525b1a0a8b40f36a934ea8d89da161368f20cc1,IFEval541 frozen; qualification only,1xL20 GPU4,float16 native greedy,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/3uavnnjv,experiments/07-distill/K00-teacher-qualification-20260909/report.md,,2026-09-09,
